AREA,Area,MAINTRAVELWORK,Main means of travel to work,AGE,Age group,SEX,Sex,YEAR,Year,Value,Flags
183300,Te Awamutu North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1128,
183400,Te Awamutu West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,168,
183500,Leamington West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,462,
183600,Goodfellow Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,369,
183700,Leamington South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,189,
183800,Leamington Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
183900,Leamington East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,213,
184000,Te Awamutu Stadium,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,279,
184100,Te Awamutu Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1767,
184200,Pekerau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,465,
184300,Fraser Street,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,165,
184400,Sherwin Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,324,
184500,St Leger,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,102,
184600,Rotoorangi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,579,
184700,Tokanui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,192,
184800,Kihikihi Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,240,
184900,Maungatautari,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,324,
185000,Rotongata,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,324,
185100,Inlets Otorohanga District,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
185200,Pirongia Forest,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,204,
185300,Honikiwi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,390,
185400,Te Kawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,315,
185500,Otorohanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1275,
185600,Maihiihi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,672,
185700,Puniu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,618,
185800,Tirau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,837,
185900,Putararu Rural,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,930,
186000,Putararu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1299,
186100,Kinleith,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1179,
186200,Paraonui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,210,
186300,Parkdale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,60,
186400,Matarawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,204,
183200,Cambridge Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2556,
183100,Pukerimu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,363,
183000,Oaklands-St Kilda,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,228,
182900,Cambridge Park-River Garden,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,273,
186500,Stanley Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,135,
186600,Strathmore (South Waikato District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,216,
186700,Tokoroa Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1767,
186800,Moananui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,222,
186900,Inlet Waitomo District,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
187000,Herangi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,435,
187100,Hangatiki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,549,
187200,Aria,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,531,
187300,Te Kuiti West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,558,
187400,Te Kuiti East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1158,
187500,Waipa Valley,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,465,
187600,Tiroa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,102,
187700,Marotiri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,885,
187800,Ohakuri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,591,
187900,Lake Taupo Bays,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,573,
188000,Mapara,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,504,
188100,Inland water Lake Taupo,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
188200,Wairakei-Broadlands,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,780,
188300,Acacia Bay,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,276,
188400,Brentwood (Taupo District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,273,
188500,Nukuhau-Rangatira Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,315,
188600,Taupo Central West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3573,
188700,Tauhara,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1929,
188800,Taupo Central East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,522,
188900,Mountview,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,516,
189000,Bird Area,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,534,
189100,Hilltop (Taupo District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,858,
189200,Waipahihi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,396,
189300,Richmond Heights,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,300,
189400,Wharewaka,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,273,
189500,Kaimanawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,45,
189600,Waitahanui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,141,
189700,Turangi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,894,
189800,Rangataiki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,66,
189900,Taharua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,51,
190000,Te More,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
190100,Waiau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,102,
190200,Waihi Beach-Bowentown,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,612,
190300,Tahawai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,477,
190400,Athenree,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,117,
190500,Aongatete,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1128,
190600,Katikati,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1683,
190700,Inlet Tauranga Harbour North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
190800,Matakana Island,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,54,
190900,Pahoia,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,741,
191000,Omokoroa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,471,
191100,Omokoroa Rural,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,291,
191200,Te Puna,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,825,
191300,Minden,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,453,
191400,Kaimai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,378,
191500,Kopurererua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,357,
191600,Kaitemako (Western Bay of Plenty District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,315,
191700,Waiorohi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,543,
191800,Otawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,837,
191900,Te Puke West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1161,
192000,Rangiuru,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1413,
192100,Te Puke East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1629,
192200,Inlets Maketu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
192300,Maketu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,141,
192400,Pukehina Beach,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,78,
192500,Pongakawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1101,
192600,Matua North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,363,
192700,Inlet Tauranga Harbour South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,27,
192800,Mount Maunganui North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2043,
192900,Matua South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,399,
193000,Bethlehem North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1302,
193100,Bellevue,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,717,
193200,Otumoetai North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,777,
193300,Otumoetai South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,513,
193400,Brookfield West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,516,
193500,Bethlehem Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,846,
193600,Brookfield East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
193700,Mount Maunganui South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,681,
193800,Tauranga Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,11340,
193900,Mount Maunganui Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,8211,
194000,Judea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,339,
194100,Te Reti,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,243,
194200,Bethlehem South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,198,
194300,Omanu Beach,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,693,
194400,Tauranga Hospital,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3894,
194500,Tauriko,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1746,
194600,Gate Pa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,984,
194700,Greerton South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2634,
194800,Tauranga South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2853,
194900,Arataki North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,441,
195000,Matapihi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,108,
195100,Pyes Pa West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,429,
195200,Greerton North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,630,
195300,Yatton Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,183,
195400,Pyes Pa North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,804,
195500,Arataki South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1026,
195600,Pyes Pa South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,261,
195700,Poike,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,525,
195800,Te Maunga North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,648,
195900,Maungatapu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,360,
196000,Hairini,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,345,
196100,Pyes Pa East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,126,
196200,Te Maunga South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,474,
196300,Kaitemako (Tauranga City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,210,
196400,Ohauiti,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,321,
196500,Baypark-Kairua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,852,
196600,Welcome Bay West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,264,
196700,Welcome Bay East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,369,
196800,Pacific View,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,282,
196900,Welcome Bay South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,336,
197000,Palm Beach North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,372,
197100,Palm Beach South-Gravatt,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1167,
197200,Papamoa Beach North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
197300,Doncaster,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,564,
197400,Papamoa Beach South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,522,
197500,Motiti,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,492,
197600,Wairakei,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,621,
197700,Tui Ridge,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,480,
197800,Arahiwi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,57,
197900,Ngongotaha Valley,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,393,
198000,Hamurana,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
198100,Ngongotaha East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,312,
198200,Ngongotaha West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,219,
198300,Inland water Lake Rotorua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
198400,Ngongotaha South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,543,
198500,Selwyn Heights,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,147,
198600,Pleasant Heights,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,228,
198700,Rotoiti-Rotoehu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,348,
